,FR-CRC,AT-CRC,CN-CRC,US-CRC,DE-CRC
FR-CRC,0.7358490566037735,0.5739130434782613,0.8432432432432435,0.7365384615384617,0.7633333333333332
AT-CRC,0.6641509433962267,0.7391304347826088,0.4689189189189194,0.5019230769230774,0.68
CN-CRC,0.7075471698113208,0.5499999999999999,0.7297297297297299,0.5999999999999999,0.5633333333333337
US-CRC,0.4377358490566034,0.2891304347826087,0.5837837837837835,0.576923076923077,0.31833333333333347
DE-CRC,0.8320754716981138,0.6630434782608693,0.9621621621621621,0.7173076923076926,0.8499999999999999
LOSO,0.7603773584905661,0.6282608695652172,0.848648648648649,0.44038461538461526,0.7100000000000002
LOSO_CV,0.7443965517241378,0.7682008368200836,0.7393364928909952,0.7553648068669527,0.6582222222222223
