,FR-CRC,AT-CRC,CN-CRC,US-CRC,DE-CRC,LOSO
CCIS00146684ST-4-0,0.29312364766730525,0.13449996973924253,0.1518396666758201,0.21623973570690871,0.24576522940868425,0.14492941702400422
CCIS00281083ST-3-0,0.47840565785161815,0.1633237060132884,0.16504451293969968,0.4936672214609785,0.6363873876202316,0.22086911730327172
CCIS02124300ST-4-0,0.5948526403635815,0.8407341388776609,0.33567337235615197,0.3348479637573209,0.51104085047548,0.34298645395761734
CCIS02379307ST-4-0,0.5917607797331468,0.8284692518521607,0.8678830324332137,0.6372447017764538,0.9780702014564484,0.985589026868699
CCIS02856720ST-4-0,0.3504322011483775,0.5402948926033164,0.6258002548860769,0.5133428277484767,0.8184715308521856,0.8659530385312256
CCIS03473770ST-4-0,0.21407773918559497,0.4646109848996149,0.46953593878249655,0.12827535532499246,0.05987800476370177,0.2476388602252672
CCIS03857607ST-4-0,0.23399446248535152,0.7168075252848587,0.12723391220411157,0.2980617460086431,0.07101652773127655,0.11538519340205323
CCIS05314658ST-4-0,0.1729600544252985,0.19781248060536957,0.05354350237975147,0.48664838125551835,0.08798752477821419,0.2633994103099193
CCIS06260551ST-3-0,0.8606167465976166,0.8172448225724757,0.8429451360774906,0.5512693203316408,0.9743883091321227,0.8841646565968521
CCIS07277498ST-4-0,0.35081201353753644,0.7599212713247171,0.26932130489496503,0.331466347641026,0.2108033298288724,0.6629193853502591
CCIS07539127ST-4-0,0.31743848636227057,0.8353659082049288,0.27367263683790793,0.2292947614008134,0.27404213346809253,0.19808091387462395
CCIS07648107ST-4-0,0.5792672573093238,0.21355887795385217,0.24497474801285102,0.40740959709243624,0.6466817504980702,0.08860604732673097
CCIS09568613ST-4-0,0.18178298983985894,0.3155656947417838,0.46543788991858226,0.22397865669247433,0.09497263346306081,0.07020215155719095
CCIS10706551ST-3-0,0.14016740529940472,0.28097810966400416,0.053924286889020956,0.33180705840332764,0.18781711958101893,0.1764771657744796
CCIS11015875ST-4-0,0.9303862140933035,0.9705225698793059,0.8507202192904456,0.5824687387531647,0.9744406623957352,0.9892107842937007
CCIS11354283ST-4-0,0.4218298587859155,0.5852071801573151,0.1301016308270798,0.5721439400783329,0.5626223433664495,0.5541236881761824
